FileName	NearPhrase	ReferenceObject	MapLink	GoogleNearLink
close+to+Costco_L_portland_clk_reo_3481280376_D12_22_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%39%34th+Street+at+%34%31st+Ave+Vancouver+WA+US	http://maps.google.com/?q=Costco+near+%3A+%39%34th+Street+at+%34%31st+Ave+Vancouver+WA+US
close+to+Costco_L_portland_clk_reo_3509174739_D01_11_2013.html	close to	Costco	http://maps.google.com/?q=loc%3A+%39%34th+Street+at+%34%31st+Avenue+Vancouver+WA+US	http://maps.google.com/?q=Costco+near+%3A+%39%34th+Street+at+%34%31st+Avenue+Vancouver+WA+US
close+to+Costco_L_portland_mlt_apa_3501928085_D12_30_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%36%33%30%31+SW+Palatine+Portland+OR+US	http://maps.google.com/?q=Costco+near+%3A+%36%33%30%31+SW+Palatine+Portland+OR+US
close+to+Costco_L_portland_wsc_apa_3470002727_D12_15_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%31%37%31%38%35+SW+Pleasanton+Ln+Beaverton+OR+US	http://maps.google.com/?q=Costco+near+%3A+%31%37%31%38%35+SW+Pleasanton+Ln+Beaverton+OR+US
close+to+Costco_L_reno_apa_3419081441_D12_16_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+Blue+Skies+at+Pah+Rah+Sparks+NV+US	http://maps.google.com/?q=Costco+near+%3A+Blue+Skies+at+Pah+Rah+Sparks+NV+US
close+to+Costco_L_reno_apa_3552207830_D01_24_2013.html	close to	Costco	http://maps.google.com/?q=loc%3A+%31%37%36%35+auburn+way+reno+nv+US	http://maps.google.com/?q=Costco+near+%3A+%31%37%36%35+auburn+way+reno+nv+US
close+to+Costco_L_roseburg_apa_3388385809_D12_08_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%31%32%35+Village+Drive+Winchester+OR+US	http://maps.google.com/?q=Costco+near+%3A+%31%32%35+Village+Drive+Winchester+OR+US
close+to+Costco_L_roseburg_reo_3546008578_D01_17_2013.html	close to	Costco	http://maps.google.com/?q=loc%3A+%31%30%39+Balder+Ln+Roseburg+OR+US	http://maps.google.com/?q=Costco+near+%3A+%31%30%39+Balder+Ln+Roseburg+OR+US
close+to+Costco_L_sacramento_apa_3452690274_D12_11_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+Temwoods+Way+at+Skywoods+Way+Sacramento+CA+US	http://maps.google.com/?q=Costco+near+%3A+Temwoods+Way+at+Skywoods+Way+Sacramento+CA+US
close+to+Costco_L_sacramento_apa_3468315618_D12_15_2012.html	close to	Costco	http://maps.google.com/?q=loc%3A+%37%34%39+E+Century+Place+Lodi+CA+US	http://maps.google.com/?q=Costco+near+%3A+%37%34%39+E+Century+Place+Lodi+CA+US
